action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,19,red,right,-1.0,1,None,None,None,12
right,18,red,right,2.0,2,None,None,None,12
forward,17,red,right,-1.0,3,None,None,None,12
forward,16,red,right,-1.0,4,None,None,None,12
right,15,green,right,2.0,5,None,None,None,12
forward,14,green,forward,2.0,6,None,None,None,12
None,13,red,forward,0.0,7,None,None,None,12
None,12,red,forward,0.0,8,None,None,None,12
forward,11,green,forward,12.0,9,None,None,None,12
forward,35,green,forward,2.0,0,None,None,None,13
None,34,green,forward,0.0,1,None,None,None,13
forward,33,green,forward,2.0,2,None,None,None,13
None,32,red,forward,0.0,3,None,None,None,13
None,31,red,forward,0.0,4,None,None,None,13
None,30,green,forward,0.0,5,None,None,None,13
None,29,green,forward,0.0,6,None,None,None,13
forward,28,green,forward,2.0,7,None,None,None,13
None,27,red,forward,0.0,8,None,None,None,13
None,26,red,forward,0.0,9,None,None,None,13
None,25,red,forward,0.0,10,None,None,None,13
None,24,red,forward,0.0,11,None,None,None,13
None,23,green,forward,0.0,12,None,None,None,13
None,22,green,forward,0.0,13,None,None,None,13
right,21,green,forward,-0.5,14,None,left,None,13
left,20,red,left,-1.0,15,None,None,None,13
right,19,green,left,-0.5,16,None,None,None,13
right,18,green,right,2.0,17,None,None,None,13
forward,17,red,right,-1.0,18,None,None,None,13
forward,16,red,right,-1.0,19,None,None,None,13
right,15,green,right,2.0,20,None,None,None,13
forward,14,green,forward,2.0,21,None,None,None,13
right,13,green,forward,-0.5,22,left,None,None,13
left,12,red,left,-1.0,23,None,None,None,13
left,11,red,left,-1.0,24,None,None,None,13
right,10,green,left,-0.5,25,None,None,None,13
forward,9,red,right,-1.0,26,None,None,None,13
forward,8,red,right,-1.0,27,None,None,None,13
right,7,green,right,2.0,28,None,None,None,13
forward,6,red,right,-1.0,29,None,None,None,13
forward,5,red,right,-1.0,30,None,None,None,13
forward,4,red,right,-1.0,31,None,None,None,13
right,3,green,right,2.0,32,None,None,None,13
None,2,red,forward,0.0,33,None,None,None,13
None,1,red,forward,0.0,34,None,None,None,13
